EdgeID;Name;Source;Target;SourceName;TargetName
101;Edge 5877b982-c469-428e-91ce-02727911d8c9: 101;100;1;ROOT;1_DUCTANGULAR
102;Edge 5877b982-c469-428e-91ce-02727911d8c9: 102;1;2;1_DUCTANGULAR;2_ELBOW
103;Edge 5877b982-c469-428e-91ce-02727911d8c9: 103;2;3;2_ELBOW;3_DUCTANGULAR
104;Edge 5877b982-c469-428e-91ce-02727911d8c9: 104;3;4;3_DUCTANGULAR;4_ELBOW
105;Edge 5877b982-c469-428e-91ce-02727911d8c9: 105;4;5;4_ELBOW;5_DUCTANGULAR
106;Edge 5877b982-c469-428e-91ce-02727911d8c9: 106;5;7;5_DUCTANGULAR;7_FAN
107;Edge 5877b982-c469-428e-91ce-02727911d8c9: 107;7;8;7_FAN;8_DUCTROUND
108;Edge 5877b982-c469-428e-91ce-02727911d8c9: 108;8;9;8_DUCTROUND;9_CONFUSDIFFUS
109;Edge 5877b982-c469-428e-91ce-02727911d8c9: 109;9;10;9_CONFUSDIFFUS;10_DUCTROUND
110;Edge 5877b982-c469-428e-91ce-02727911d8c9: 110;10;11;10_DUCTROUND;11_ELBOW
111;Edge 5877b982-c469-428e-91ce-02727911d8c9: 111;11;12;11_ELBOW;12_DUCTROUND
112;Edge 5877b982-c469-428e-91ce-02727911d8c9: 112;12;13;12_DUCTROUND;13_ELBOW
113;Edge 5877b982-c469-428e-91ce-02727911d8c9: 113;13;14;13_ELBOW;14_DUCTROUND
114;Edge 5877b982-c469-428e-91ce-02727911d8c9: 114;14;15;14_DUCTROUND;15_ELBOW
115;Edge 5877b982-c469-428e-91ce-02727911d8c9: 115;15;16;15_ELBOW;16_DUCTROUND
116;Edge 5877b982-c469-428e-91ce-02727911d8c9: 116;16;17;16_DUCTROUND;17_ELBOW
117;Edge 5877b982-c469-428e-91ce-02727911d8c9: 117;17;18;17_ELBOW;18_DUCTROUND
118;Edge 5877b982-c469-428e-91ce-02727911d8c9: 118;18;19;18_DUCTROUND;19_BRANCHDUCT
119;Edge 5877b982-c469-428e-91ce-02727911d8c9: 119;19;20;19_BRANCHDUCT;20_DUCTROUND
120;Edge 5877b982-c469-428e-91ce-02727911d8c9: 120;19;27;19_BRANCHDUCT;27_DUCTROUND
121;Edge 5877b982-c469-428e-91ce-02727911d8c9: 121;27;28;27_DUCTROUND;28_ELBOW
122;Edge 5877b982-c469-428e-91ce-02727911d8c9: 122;28;29;28_ELBOW;29_CONFUSDIFFUS
123;Edge 5877b982-c469-428e-91ce-02727911d8c9: 123;29;30;29_CONFUSDIFFUS;30_DUCTROUND
124;Edge 5877b982-c469-428e-91ce-02727911d8c9: 124;30;31;30_DUCTROUND;31_BRANCHDUCT
125;Edge 5877b982-c469-428e-91ce-02727911d8c9: 125;31;32;31_BRANCHDUCT;32_DUCTROUND
126;Edge 5877b982-c469-428e-91ce-02727911d8c9: 126;31;34;31_BRANCHDUCT;34_DUCTROUND
127;Edge 5877b982-c469-428e-91ce-02727911d8c9: 127;32;33;32_DUCTROUND;33_AIRTERMINAL
128;Edge 5877b982-c469-428e-91ce-02727911d8c9: 128;34;35;34_DUCTROUND;35_ELBOW
129;Edge 5877b982-c469-428e-91ce-02727911d8c9: 129;35;36;35_ELBOW;36_DUCTROUND
130;Edge 5877b982-c469-428e-91ce-02727911d8c9: 130;36;37;36_DUCTROUND;37_AIRTERMINAL
131;Edge 5877b982-c469-428e-91ce-02727911d8c9: 131;20;21;20_DUCTROUND;21_BRANCHDUCT
132;Edge 5877b982-c469-428e-91ce-02727911d8c9: 132;21;22;21_BRANCHDUCT;22_DUCTROUND
133;Edge 5877b982-c469-428e-91ce-02727911d8c9: 133;21;38;21_BRANCHDUCT;38_DUCTROUND
134;Edge 5877b982-c469-428e-91ce-02727911d8c9: 134;22;23;22_DUCTROUND;23_ELBOW
135;Edge 5877b982-c469-428e-91ce-02727911d8c9: 135;23;24;23_ELBOW;24_DUCTROUND
136;Edge 5877b982-c469-428e-91ce-02727911d8c9: 136;24;25;24_DUCTROUND;25_AIRTERMINAL
137;Edge 5877b982-c469-428e-91ce-02727911d8c9: 137;38;39;38_DUCTROUND;39_AIRTERMINAL
